epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7662,1.06463,3.4404,1.06977,1,0.15544,0.6513,0.42206,1.01895,4.1152,0.9999,0.000654321,0.000654321,0.000654321
2,41.1418,1.08112,2.23084,1.1133,0.96722,0.70732,0.73978,0.53936,1.0759,2.19905,1.21931,0.00130791,0.00130791,0.00130791
3,60.4447,1.14099,1.80828,1.1445,0.97631,0.69106,0.73462,0.51735,1.13603,1.46575,1.29234,0.0019483,0.0019483,0.0019483
4,80.0255,1.098,1.38289,1.11817,0.92127,0.66667,0.73648,0.5081,1.13064,1.09593,1.22333,0.0019406,0.0019406,0.0019406
5,99.9139,1.05681,1.16694,1.12188,0.93338,0.72629,0.80612,0.56865,1.03467,0.88452,1.12889,0.0019208,0.0019208,0.0019208
6,120.289,1.04922,0.99623,1.09978,0.96794,0.73649,0.82037,0.57033,1.0381,0.74799,1.13129,0.001901,0.001901,0.001901
7,141.167,1.00872,0.83488,1.06964,0.98131,0.72087,0.83212,0.60447,0.98361,0.73071,1.09653,0.0018812,0.0018812,0.0018812
8,161.388,1.02214,0.82316,1.08544,0.94513,0.71816,0.81566,0.60662,0.91888,0.70964,1.06228,0.0018614,0.0018614,0.0018614
9,181.499,0.99272,0.71043,1.0708,0.98862,0.73442,0.81106,0.60718,0.93406,0.65406,1.06947,0.0018416,0.0018416,0.0018416
10,201.841,0.97476,0.67824,1.0719,0.94007,0.76519,0.84877,0.57044,1.06686,0.64219,1.15124,0.0018218,0.0018218,0.0018218
11,222.23,0.98954,0.66303,1.07485,0.9681,0.74025,0.80134,0.56926,1.04331,0.695,1.138,0.001802,0.001802,0.001802
12,242.615,0.94457,0.64269,1.03254,0.95969,0.73984,0.86364,0.61207,0.97285,0.60476,1.08774,0.0017822,0.0017822,0.0017822
13,263.131,0.94305,0.59924,1.05391,0.98452,0.74797,0.85194,0.60433,1.00117,0.57408,1.10453,0.0017624,0.0017624,0.0017624
14,283.42,0.97331,0.62882,1.04717,0.92241,0.7832,0.86678,0.58915,1.07465,0.6287,1.16584,0.0017426,0.0017426,0.0017426
15,303.82,0.96608,0.60673,1.05015,0.96919,0.75339,0.89098,0.63472,0.97121,0.5515,1.08463,0.0017228,0.0017228,0.0017228
16,324.254,0.92876,0.58216,1.04649,0.92861,0.80217,0.88609,0.64834,0.88562,0.5083,1.04761,0.001703,0.001703,0.001703
17,344.58,0.96694,0.57814,1.05768,0.91854,0.79133,0.84571,0.60016,0.97616,0.63817,1.08621,0.0016832,0.0016832,0.0016832
18,364.838,0.93703,0.59053,1.03708,0.97222,0.75872,0.8505,0.5666,1.0961,0.61381,1.18071,0.0016634,0.0016634,0.0016634
19,385.238,0.92829,0.58477,1.04046,0.93565,0.74797,0.86716,0.61793,0.94673,0.55236,1.07753,0.0016436,0.0016436,0.0016436
20,405.692,0.92858,0.55757,1.04046,0.89362,0.8374,0.90607,0.67401,0.84648,0.50751,1.02687,0.0016238,0.0016238,0.0016238
21,426.159,0.91752,0.54584,1.02111,0.9106,0.82656,0.8871,0.63441,0.90167,0.49811,1.04847,0.001604,0.001604,0.001604
22,446.495,0.87661,0.51548,1.02259,0.89949,0.84824,0.89646,0.62889,0.99585,0.5308,1.09911,0.0015842,0.0015842,0.0015842
23,466.784,0.90068,0.52661,1.017,0.91716,0.81006,0.88337,0.63032,0.948,0.52919,1.08043,0.0015644,0.0015644,0.0015644
24,487.329,0.84594,0.5034,1.00586,0.9684,0.74755,0.86553,0.62554,0.94525,0.53847,1.07375,0.0015446,0.0015446,0.0015446
25,507.795,0.85342,0.50584,0.99894,0.88106,0.83469,0.92209,0.64793,0.94882,0.49165,1.06592,0.0015248,0.0015248,0.0015248
26,528.028,0.88273,0.5211,1.03147,0.86864,0.8645,0.89939,0.6461,0.91049,0.4952,1.05077,0.001505,0.001505,0.001505
27,548.348,0.86701,0.49144,1.01758,0.98626,0.76152,0.88069,0.67097,0.83805,0.48225,1.01064,0.0014852,0.0014852,0.0014852
28,568.673,0.85495,0.50153,0.9958,0.93252,0.79404,0.88572,0.66213,0.85291,0.48686,1.02268,0.0014654,0.0014654,0.0014654
29,589.011,0.84228,0.47668,0.99128,0.91816,0.83198,0.9088,0.66525,0.89594,0.4797,1.03824,0.0014456,0.0014456,0.0014456
30,609.36,0.88314,0.48337,1.00374,0.96607,0.7716,0.90968,0.66645,0.88536,0.47974,1.0467,0.0014258,0.0014258,0.0014258
31,629.716,0.85601,0.46598,1.0026,0.95646,0.77384,0.89092,0.6669,0.86518,0.47491,1.02956,0.001406,0.001406,0.001406
