epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9169,1.13811,3.2933,1.15636,0.97817,0.20558,0.53774,0.34546,1.02468,4.07974,1.06851,0.000656085,0.000656085,0.000656085
2,46.7043,1.15791,2.11619,1.18018,0.93378,0.71155,0.78589,0.5412,1.13617,2.10173,1.30971,0.00130966,0.00130966,0.00130966
3,68.7153,1.17329,1.59641,1.22319,0.94922,0.77173,0.81878,0.56336,1.10789,1.46543,1.35323,0.00195003,0.00195003,0.00195003
4,90.5531,1.15168,1.40182,1.21884,0.88655,0.77064,0.79161,0.5651,1.10919,1.62088,1.35038,0.0019406,0.0019406,0.0019406
5,112.811,1.14517,1.09136,1.20598,0.90929,0.73572,0.81269,0.56807,1.04389,0.88428,1.27896,0.0019208,0.0019208,0.0019208
6,135.429,1.13821,0.97106,1.1946,0.83593,0.77128,0.77665,0.52821,1.09034,0.91918,1.25221,0.001901,0.001901,0.001901
7,157.877,1.11791,0.84897,1.16274,0.93528,0.8211,0.88193,0.63676,1.00406,0.64718,1.21372,0.0018812,0.0018812,0.0018812
8,180.32,1.10286,0.7978,1.17609,0.94175,0.81581,0.85848,0.61317,1.04967,0.69516,1.22709,0.0018614,0.0018614,0.0018614
9,202.614,1.05742,0.72924,1.14803,0.97651,0.7844,0.87921,0.61002,1.03669,0.65851,1.26657,0.0018416,0.0018416,0.0018416
10,224.833,1.0739,0.72338,1.14783,0.95739,0.76606,0.84381,0.60231,1.07592,0.75738,1.22984,0.0018218,0.0018218,0.0018218
11,247.219,1.04564,0.6857,1.13622,0.95421,0.77064,0.83603,0.60691,0.99794,1.30855,1.21661,0.001802,0.001802,0.001802
12,269.881,1.04006,0.67984,1.10919,0.97325,0.83452,0.9305,0.66296,0.98125,0.55532,1.16682,0.0017822,0.0017822,0.0017822
13,292.213,1.01386,0.64977,1.122,0.95089,0.81193,0.90967,0.6327,0.99501,0.66236,1.18316,0.0017624,0.0017624,0.0017624
14,314.58,0.98273,0.61664,1.08515,0.97831,0.82749,0.92441,0.66831,0.94139,0.54677,1.15596,0.0017426,0.0017426,0.0017426
15,337.209,0.97918,0.63809,1.10553,0.989,0.825,0.91253,0.67272,0.9258,0.55104,1.13532,0.0017228,0.0017228,0.0017228
16,359.698,0.99331,0.62991,1.11716,0.98303,0.83028,0.92929,0.68753,0.924,0.56278,1.14834,0.001703,0.001703,0.001703
17,382.01,1.0088,0.62381,1.11085,0.97902,0.85603,0.93767,0.67044,0.93641,0.57924,1.12708,0.0016832,0.0016832,0.0016832
18,404.221,0.97923,0.6059,1.09252,0.95716,0.84862,0.89846,0.64363,0.93818,0.57433,1.16273,0.0016634,0.0016634,0.0016634
19,426.351,0.96729,0.59398,1.07712,0.94697,0.84862,0.92837,0.68426,0.92061,0.53548,1.12375,0.0016436,0.0016436,0.0016436
20,448.465,0.96547,0.55765,1.06944,0.96669,0.86697,0.92886,0.69241,0.89919,0.52554,1.10132,0.0016238,0.0016238,0.0016238
21,470.736,0.95657,0.55438,1.07671,0.97534,0.84404,0.93686,0.67517,0.93034,0.52888,1.13181,0.001604,0.001604,0.001604
22,492.944,0.94692,0.54598,1.08333,0.98478,0.83028,0.93742,0.68473,0.88983,0.49674,1.13645,0.0015842,0.0015842,0.0015842
23,515.413,0.94927,0.54811,1.07554,0.91597,0.90007,0.95773,0.70222,0.88856,0.51849,1.10804,0.0015644,0.0015644,0.0015644
24,537.739,0.9304,0.5402,1.06943,0.93404,0.8578,0.92336,0.68666,0.89348,0.48769,1.13814,0.0015446,0.0015446,0.0015446
25,560.174,0.94878,0.54892,1.06576,0.92483,0.90297,0.95637,0.69535,0.92835,0.48144,1.13223,0.0015248,0.0015248,0.0015248
26,582.592,0.93712,0.55561,1.06035,0.97034,0.86239,0.947,0.69381,0.89843,0.50176,1.11989,0.001505,0.001505,0.001505
27,605.048,0.89796,0.52914,1.05313,0.94907,0.85487,0.93015,0.70297,0.87507,0.4911,1.09549,0.0014852,0.0014852,0.0014852
28,627.345,0.93475,0.55464,1.07151,0.9765,0.83945,0.93411,0.68718,0.89534,0.46537,1.13265,0.0014654,0.0014654,0.0014654
29,649.751,0.90753,0.52168,1.04764,0.9206,0.88532,0.952,0.68709,0.92786,0.51346,1.12765,0.0014456,0.0014456,0.0014456
30,672.212,0.92949,0.52511,1.06395,0.92859,0.8578,0.94019,0.69265,0.89026,0.47504,1.12422,0.0014258,0.0014258,0.0014258
31,694.468,0.9206,0.53202,1.05194,0.93957,0.88532,0.9448,0.68159,0.90971,0.47081,1.12728,0.001406,0.001406,0.001406
32,716.913,0.92431,0.51571,1.05821,0.92929,0.86239,0.94376,0.70192,0.88021,0.47585,1.11343,0.0013862,0.0013862,0.0013862
33,739.41,0.88819,0.49093,1.03876,0.92587,0.91665,0.95,0.70427,0.88233,0.45556,1.09747,0.0013664,0.0013664,0.0013664
34,761.993,0.88219,0.49483,1.0419,0.9277,0.8945,0.93953,0.6984,0.88953,0.44919,1.1153,0.0013466,0.0013466,0.0013466
35,784.368,0.87646,0.49858,1.03564,0.98374,0.83254,0.9496,0.7073,0.87822,0.45585,1.1176,0.0013268,0.0013268,0.0013268
36,806.801,0.87358,0.49514,1.03758,0.93592,0.90367,0.94966,0.70363,0.86841,0.44857,1.10987,0.001307,0.001307,0.001307
37,829.255,0.89229,0.51337,1.0449,0.95487,0.87615,0.93616,0.69858,0.88575,0.48114,1.08628,0.0012872,0.0012872,0.0012872
38,851.543,0.87305,0.49002,1.04149,0.94719,0.90505,0.95782,0.72369,0.86053,0.43108,1.07545,0.0012674,0.0012674,0.0012674
39,874.207,0.89234,0.48556,1.03525,0.94654,0.89339,0.95193,0.70176,0.88934,0.47519,1.08725,0.0012476,0.0012476,0.0012476
40,896.666,0.85116,0.46119,1.02217,0.94567,0.88991,0.95839,0.71448,0.83296,0.41848,1.09378,0.0012278,0.0012278,0.0012278
41,920.883,0.82951,0.45905,1.01114,0.9651,0.88532,0.95013,0.72065,0.87069,0.44869,1.08485,0.001208,0.001208,0.001208
42,943.979,0.84501,0.45812,1.03009,0.96213,0.88073,0.94993,0.72086,0.83592,0.43247,1.06424,0.0011882,0.0011882,0.0011882
43,966.822,0.83491,0.46005,1.0209,0.95098,0.8945,0.96452,0.72338,0.84714,0.43484,1.07513,0.0011684,0.0011684,0.0011684
44,989.245,0.85093,0.45888,1.02178,0.9436,0.91284,0.96081,0.71228,0.89335,0.42859,1.08816,0.0011486,0.0011486,0.0011486
45,1011.62,0.84406,0.46405,1.02045,0.9399,0.92202,0.96065,0.71424,0.85412,0.424,1.07326,0.0011288,0.0011288,0.0011288
46,1034.27,0.8308,0.45161,1.01003,0.94978,0.91743,0.97697,0.72807,0.86491,0.41727,1.07914,0.001109,0.001109,0.001109
47,1056.8,0.8222,0.45134,1.00892,0.96955,0.8945,0.96805,0.7248,0.83831,0.42011,1.07438,0.0010892,0.0010892,0.0010892
48,1079.49,0.80716,0.44032,1.00241,0.96022,0.88576,0.96881,0.72868,0.83474,0.41149,1.0937,0.0010694,0.0010694,0.0010694
49,1102.23,0.80888,0.43479,1.01522,0.94623,0.88799,0.95961,0.71591,0.86912,0.44376,1.07894,0.0010496,0.0010496,0.0010496
50,1124.71,0.81319,0.42946,0.99846,0.92749,0.94495,0.97016,0.72931,0.84141,0.40601,1.07884,0.0010298,0.0010298,0.0010298
51,1147.13,0.82816,0.43076,0.99599,0.97082,0.88073,0.97513,0.72781,0.84961,0.40158,1.05867,0.00101,0.00101,0.00101
52,1169.64,0.79612,0.42688,1.00257,0.89465,0.93491,0.97104,0.72058,0.88181,0.41531,1.07796,0.0009902,0.0009902,0.0009902
53,1192.27,0.80742,0.43152,1.01034,0.94863,0.91743,0.9719,0.7324,0.8504,0.40136,1.0759,0.0009704,0.0009704,0.0009704
54,1214.82,0.80133,0.4315,0.99678,0.93511,0.92202,0.9717,0.71883,0.83663,0.39689,1.07424,0.0009506,0.0009506,0.0009506
55,1238.15,0.82233,0.41561,1.00679,0.9783,0.86697,0.95915,0.71544,0.87932,0.41282,1.0807,0.0009308,0.0009308,0.0009308
56,1260.69,0.83264,0.43363,1.01793,0.93241,0.93119,0.96893,0.73196,0.83439,0.39396,1.06855,0.000911,0.000911,0.000911
57,1283.2,0.79168,0.41076,0.99596,0.92672,0.92819,0.97331,0.72383,0.84537,0.40876,1.07894,0.0008912,0.0008912,0.0008912
58,1305.83,0.80338,0.41246,0.9992,0.93833,0.9073,0.9642,0.72844,0.85145,0.4085,1.07667,0.0008714,0.0008714,0.0008714
59,1328.3,0.79694,0.41789,0.99291,0.9695,0.87486,0.96634,0.70902,0.85615,0.39739,1.11335,0.0008516,0.0008516,0.0008516
60,1350.66,0.78127,0.41739,0.98111,0.95187,0.9073,0.96275,0.7195,0.86209,0.41051,1.09107,0.0008318,0.0008318,0.0008318
61,1373.14,0.78886,0.41755,0.98804,0.92692,0.93085,0.9684,0.71503,0.86208,0.40351,1.09622,0.000812,0.000812,0.000812
62,1395.6,0.79118,0.41616,0.99203,0.94797,0.91938,0.96502,0.72912,0.83322,0.3989,1.05895,0.0007922,0.0007922,0.0007922
63,1418.22,0.76481,0.41145,0.98281,0.93804,0.93119,0.96809,0.72622,0.84154,0.40277,1.06748,0.0007724,0.0007724,0.0007724
64,1440.74,0.78229,0.40058,0.99461,0.94443,0.91743,0.95972,0.72622,0.83116,0.39197,1.05917,0.0007526,0.0007526,0.0007526
65,1463.29,0.75863,0.39546,0.98061,0.94875,0.91743,0.97403,0.7228,0.84157,0.39731,1.08504,0.0007328,0.0007328,0.0007328
66,1485.76,0.77263,0.41099,0.98158,0.95137,0.8974,0.96982,0.72942,0.83521,0.39347,1.05663,0.000713,0.000713,0.000713
67,1508.44,0.73802,0.37767,0.96625,0.93119,0.93117,0.97299,0.72967,0.82132,0.38144,1.06654,0.0006932,0.0006932,0.0006932
68,1531.04,0.77364,0.40311,0.98399,0.95628,0.90306,0.97479,0.73468,0.82139,0.37439,1.0539,0.0006734,0.0006734,0.0006734
69,1553.49,0.74397,0.38484,0.9762,0.9644,0.90826,0.97578,0.73598,0.83517,0.37973,1.06513,0.0006536,0.0006536,0.0006536
70,1576.02,0.75018,0.38863,0.97465,0.96058,0.8945,0.96861,0.73144,0.85991,0.38212,1.08048,0.0006338,0.0006338,0.0006338
71,1598.36,0.73821,0.38415,0.9801,0.93208,0.94429,0.97741,0.72915,0.84262,0.39287,1.07517,0.000614,0.000614,0.000614
72,1620.73,0.73873,0.38528,0.97228,0.91111,0.94954,0.96903,0.73329,0.83026,0.37842,1.0699,0.0005942,0.0005942,0.0005942
73,1643.18,0.74409,0.38373,0.97845,0.94248,0.94037,0.96739,0.72723,0.83023,0.38105,1.06632,0.0005744,0.0005744,0.0005744
74,1665.44,0.71791,0.37544,0.95557,0.93049,0.94037,0.96754,0.72876,0.84766,0.38575,1.09394,0.0005546,0.0005546,0.0005546
75,1687.87,0.71264,0.36749,0.96657,0.93547,0.94037,0.97385,0.73122,0.82589,0.38528,1.06537,0.0005348,0.0005348,0.0005348
76,1710.31,0.70767,0.36705,0.96135,0.9607,0.88991,0.96796,0.73215,0.8216,0.38603,1.07534,0.000515,0.000515,0.000515
77,1732.84,0.71338,0.36855,0.95948,0.96022,0.88592,0.96848,0.73164,0.81836,0.37594,1.06679,0.0004952,0.0004952,0.0004952
78,1755.22,0.69048,0.36788,0.95505,0.93099,0.92822,0.96993,0.73016,0.81352,0.36614,1.07282,0.0004754,0.0004754,0.0004754
79,1777.52,0.69335,0.36048,0.95115,0.9268,0.92925,0.9695,0.73445,0.82616,0.3761,1.06468,0.0004556,0.0004556,0.0004556
80,1799.78,0.69682,0.35404,0.94178,0.94167,0.91743,0.97071,0.73095,0.81814,0.37242,1.07152,0.0004358,0.0004358,0.0004358
81,1822.22,0.70199,0.36244,0.94804,0.93972,0.92661,0.9712,0.74197,0.81731,0.37103,1.06314,0.000416,0.000416,0.000416
82,1844.85,0.71069,0.36513,0.95842,0.93052,0.93119,0.96847,0.74169,0.81914,0.3794,1.06056,0.0003962,0.0003962,0.0003962
83,1867.5,0.67983,0.34318,0.94783,0.94169,0.93119,0.96899,0.73424,0.81423,0.37696,1.06177,0.0003764,0.0003764,0.0003764
84,1890.25,0.68687,0.36165,0.95228,0.92966,0.93119,0.9746,0.74384,0.8236,0.38368,1.06971,0.0003566,0.0003566,0.0003566
85,1912.9,0.68413,0.35391,0.9537,0.92738,0.93734,0.97124,0.74243,0.81479,0.36986,1.06751,0.0003368,0.0003368,0.0003368
86,1935.3,0.69029,0.35256,0.9571,0.95694,0.91752,0.97626,0.73886,0.82996,0.37692,1.06254,0.000317,0.000317,0.000317
87,1957.8,0.68913,0.3458,0.9455,0.93486,0.93578,0.97115,0.74257,0.82166,0.3757,1.06641,0.0002972,0.0002972,0.0002972
88,1980.27,0.66503,0.33506,0.9346,0.94356,0.92027,0.97419,0.74436,0.81884,0.37078,1.06611,0.0002774,0.0002774,0.0002774
89,2002.57,0.65847,0.33453,0.94103,0.92966,0.92661,0.97297,0.74521,0.8048,0.36544,1.06116,0.0002576,0.0002576,0.0002576
90,2025.12,0.66202,0.34014,0.94578,0.93202,0.93119,0.97352,0.73367,0.84019,0.37092,1.08024,0.0002378,0.0002378,0.0002378
91,2048.79,0.64038,0.33016,0.96591,0.93936,0.92384,0.97159,0.7395,0.82795,0.36119,1.08471,0.000218,0.000218,0.000218
92,2070.82,0.64603,0.32333,0.95918,0.95036,0.92202,0.97303,0.74,0.83418,0.35879,1.07228,0.0001982,0.0001982,0.0001982
93,2092.71,0.6294,0.30917,0.94529,0.92817,0.94836,0.97218,0.74489,0.82134,0.3665,1.0725,0.0001784,0.0001784,0.0001784
94,2114.61,0.61169,0.29987,0.95289,0.92723,0.94495,0.97112,0.7413,0.83218,0.35944,1.07441,0.0001586,0.0001586,0.0001586
95,2136.62,0.62071,0.30548,0.94152,0.91992,0.94954,0.97068,0.74001,0.82589,0.36584,1.07378,0.0001388,0.0001388,0.0001388
96,2158.59,0.60639,0.30512,0.95079,0.92817,0.94838,0.97223,0.74055,0.83611,0.37257,1.07777,0.000119,0.000119,0.000119
97,2180.64,0.60709,0.29993,0.94467,0.92641,0.94954,0.97252,0.73982,0.82324,0.35844,1.07633,9.92e-05,9.92e-05,9.92e-05
98,2202.5,0.59673,0.29344,0.94207,0.95186,0.91743,0.97243,0.74413,0.81437,0.35594,1.07092,7.94e-05,7.94e-05,7.94e-05
99,2224.35,0.60317,0.29485,0.93321,0.94823,0.92416,0.97351,0.74541,0.81948,0.35952,1.07396,5.96e-05,5.96e-05,5.96e-05
100,2246.31,0.59527,0.28937,0.93935,0.93634,0.94457,0.97361,0.7468,0.82004,0.36038,1.07445,3.98e-05,3.98e-05,3.98e-05
